id,nombre del gp,pais,circuito,fecha
1,Gran Premio de Austria,Italia,Spielberg,5 de julio
2,Gran Premio de Estiria,Italia,Spielberg,12 de julio
3,Gran Premio de Hungría,Hungria,Budapest,19 de julio
4,Gran Premio de Gran Bretaña,Reino Unido,Silverstone,2 de agosto
5,Gran Premio 70 Aniversario,Reino Unido,Silverstone,9 de agosto
6,Gran Premio de España,España,Barcelona,16 de agosto
7,Gran Premio de Bélgica,Bélgica,Spa,30 de agosto
8,Gran Premio de Italia,Italia,Monza,6 de septiembre
9,Gran Premio de la Toscana,Italia,Mugello,13 de septiembre
10,Gran Premio de Rusia ,Rusia,Sochi,27 de septiembre
11,Gran Premio de Eifel,Francia,Norburgring,11 de octubre
12,Gran Premio de Portugal,Portugal,Portimao,25 de octubre
13,Gran Premio de Emilia Romagna,Italia,Imola,1 de noviembre
14,Gran Premio de Turquía,Turquia,Estambul,15 de noviembre
15,Gran Premio de Bahrein,Bahrin,Sakhir,29 de noviembre
16,Gran Premio de Sakhir,Bahrin,Sakhir,6 de diciembre
17,Gran Premio de Abu Dhabi,Emiratos Arabes,Yas Marina,13 de diciembre
18,Gran Premio De Azpeitia,Euskadi,Azpeitiring,25 de diciembre
